iter	Passed	Remaining
634	1370	787
635	1372	785
636	1374	783
637	1376	781
638	1379	779
639	1381	777
640	1383	775
641	1385	772
642	1387	770
643	1389	768
644	1391	765
645	1394	763
646	1396	761
647	1398	759
648	1400	757
649	1402	755
650	1404	752
651	1406	750
652	1408	748
653	1410	746
654	1412	743
655	1414	741
656	1416	739
657	1417	736
658	1419	734
659	1421	732
660	1424	730
661	1426	728
662	1428	725
663	1429	723
664	1431	721
665	1433	718
666	1434	716
667	1436	713
668	1438	711
669	1440	709
670	1442	707
671	1444	704
672	1445	702
673	1447	700
674	1449	697
675	1450	695
676	1452	693
677	1455	691
678	1457	688
679	1459	686
680	1461	684
681	1462	682
682	1464	679
683	1466	677
684	1468	675
685	1470	673
686	1473	671
687	1475	668
688	1477	666
689	1479	664
690	1480	662
691	1482	659
692	1485	657
693	1487	655
694	1489	653
695	1491	651
696	1493	649
697	1495	646
698	1497	644
699	1500	642
700	1501	640
701	1504	638
702	1505	636
703	1507	633
704	1509	631
705	1511	629
706	1513	627
707	1516	625
708	1518	623
709	1520	620
710	1521	618
711	1524	616
712	1526	614
713	1527	611
714	1530	609
715	1532	607
716	1534	605
717	1536	603
718	1538	601
719	1539	598
720	1541	596
721	1544	594
722	1546	592
723	1548	590
724	1550	588
725	1552	585
726	1553	583
727	1555	581
728	1557	578
729	1559	576
730	1561	574
731	1563	572
732	1565	570
733	1566	567
734	1568	565
735	1570	563
736	1572	560
737	1574	558
738	1576	556
739	1578	554
740	1580	552
741	1582	550
742	1584	548
743	1586	545
744	1588	543
745	1590	541
746	1592	539
747	1594	537
748	1596	534
749	1597	532
750	1599	530
751	1601	528
752	1603	526
753	1605	523
754	1607	521
755	1609	519
756	1611	517
757	1613	515
758	1614	512
759	1616	510
760	1618	508
761	1620	506
762	1622	503
763	1624	501
764	1625	499
765	1627	497
766	1629	494
767	1631	492
768	1632	490
769	1635	488
770	1637	486
771	1639	484
772	1640	481
773	1642	479
774	1644	477
775	1646	475
776	1647	472
777	1650	470
778	1651	468
779	1654	466
780	1656	464
781	1657	462
782	1659	459
783	1661	457
784	1663	455
785	1665	453
786	1667	451
787	1669	449
788	1671	446
789	1673	444
790	1674	442
791	1676	440
792	1678	438
793	1680	435
794	1682	433
795	1684	431
796	1686	429
797	1687	427
798	1689	425
799	1691	422
800	1693	420
801	1695	418
802	1698	416
803	1700	414
804	1702	412
805	1703	410
806	1705	407
807	1708	406
808	1711	403
809	1713	401
810	1715	399
811	1717	397
812	1718	395
813	1720	393
814	1722	390
815	1724	388
816	1726	386
817	1728	384
818	1730	382
819	1732	380
820	1734	378
821	1735	375
822	1737	373
823	1740	371
824	1742	369
825	1743	367
826	1745	365
827	1747	362
828	1749	360
829	1750	358
830	1752	356
831	1754	354
832	1756	352
833	1758	349
834	1760	347
835	1761	345
836	1763	343
837	1765	341
838	1767	339
839	1769	337
840	1771	334
841	1773	332
842	1775	330
843	1777	328
844	1778	326
845	1781	324
846	1783	322
847	1785	320
848	1788	318
849	1790	316
850	1792	313
851	1794	311
852	1797	309
853	1800	307
854	1802	305
855	1804	303
856	1806	301
857	1808	299
858	1810	297
859	1813	295
860	1815	293
861	1817	290
862	1819	288
863	1821	286
864	1822	284
865	1824	282
866	1826	280
867	1828	278
868	1830	275
869	1832	273
870	1834	271
871	1836	269
872	1837	267
873	1839	265
874	1841	263
875	1843	260
876	1845	258
877	1847	256
878	1849	254
879	1850	252
880	1852	250
881	1853	248
882	1855	245
883	1857	243
884	1859	241
885	1861	239
886	1863	237
887	1865	235
888	1866	233
889	1868	230
890	1870	228
891	1871	226
892	1875	224
893	1877	222
894	1879	220
895	1882	218
896	1883	216
897	1885	214
898	1889	212
899	1891	210
900	1893	208
901	1895	205
902	1898	203
903	1900	201
904	1902	199
905	1906	197
906	1908	195
907	1910	193
908	1912	191
909	1914	189
910	1916	187
911	1919	185
912	1921	183
913	1923	181
914	1925	178
915	1927	176
916	1929	174
917	1932	172
918	1935	170
919	1937	168
920	1940	166
921	1942	164
922	1943	162
923	1945	160
924	1948	157
925	1950	155
926	1952	153
927	1954	151
928	1956	149
929	1958	147
930	1960	145
931	1961	143
932	1964	141
933	1966	138
934	1968	136
935	1970	134
936	1972	132
937	1973	130
938	1975	128
939	1977	126
940	1979	124
941	1981	121
942	1983	119
943	1984	117
944	1986	115
945	1988	113
946	1990	111
947	1991	109
948	1994	107
949	1996	105
950	1998	102
951	2000	100
952	2002	98
953	2004	96
954	2006	94
955	2007	92
956	2010	90
957	2011	88
958	2014	86
959	2016	84
960	2018	81
961	2020	79
962	2022	77
963	2024	75
964	2026	73
965	2029	71
966	2031	69
967	2033	67
968	2035	65
969	2037	63
970	2039	60
971	2042	58
972	2044	56
973	2046	54
974	2048	52
975	2050	50
976	2052	48
977	2054	46
978	2057	44
979	2059	42
980	2061	39
981	2063	37
982	2065	35
983	2067	33
984	2069	31
985	2071	29
986	2072	27
987	2074	25
988	2076	23
989	2077	20
990	2079	18
991	2081	16
992	2083	14
993	2085	12
994	2087	10
995	2088	8
996	2090	6
997	2092	4
998	2093	2
999	2095	0
